/nethome/mct30/bmds/SAM_out/G002_Gut_other_bacteria_HF_2018.map			
Percentage	Number of Reads	Organism Name	Description
0.0%	0	Pseudomonas syringae pv. tomato str. DC3000	6894715
0.0%	0	Candidatus Regiella insecticola 5.15	8938135
0.0%	0	Propionibacterium cyclohexanicum	8597863
0.0066%	392	Cupriavidus necator N-1	8946484
0.0222%	1317	Paenibacillus yonginensis	9031549
0.025%	1487	Propionibacterium freudenreichii subsp. freudenreichii	9030767
0.0245%	1455	Pseudomonas syringae pv. syringae B728a	9030654
0.0%	1	Paenibacillus bovis	7870970
0.0318%	1891	Ralstonia solanacearum GMI1000	9024700
0.0%	0	Paenibacillus ginsengihumi DSM 21568	8655190
0.0%	0	Propionibacterium acidifaciens DSM 21887	6830766
0.0386%	2296	Pseudomonas putida KT2440	9031598
0.0482%	2865	Cupriavidus basilensis	9023893
0.0103%	611	Paenibacillus swuensis	9005687
0.0411%	2442	Bradyrhizobium diazoefficiens USDA 110	9031171
0.0318%	1892	Micrococcus luteus NCTC 2665	9026418
0.0003%	15	Ralstonia pickettii 12J	7811009
0.0%	1	Serratia symbiotica	8513137
0.0%	0	Paenibacillus apiarius	7790108
0.0002%	13	Ralstonia mannitolilytica	8701427
0.03%	1781	Cupriavidus gilardii CR3	9030490
0.0015%	89	Mesorhizobium ciceri biovar biserrulae WSM1271	8993486
0.0364%	2161	Xanthomonas campestris pv. campestris str. ATCC 33913	9031688
0.0001%	4	Paenibacillus herberti	8835993
0.0119%	706	Paenibacillus donghaensis	8995546
0.0%	1	Erwinia aphidicola	5520707
0.0003%	19	Cupriavidus metallidurans CH34	8841671
0.063%	3741	Pseudomonas aeruginosa PAO1	9031186
0.0%	0	Paenibacillus tianmuensis	8988591
0.0094%	559	Corynebacterium glutamicum ATCC 13032	9010772
0.0%	0	Cupriavidus pauculus	8684786
0.008%	477	Lactobacillus plantarum WCFS1	9020861
0.0%	0	Paenibacillus massiliensis 2301065 = DSM 16942	3798324
0.0%	0	Paenibacillus oryzae	8805087
0.0008%	48	Lactobacillus acidophilus NCFM	8876550
0.0086%	512	Wolbachia endosymbiont strain TRS of Brugia malayi	9004344
0.0%	1	Paenibacillus daejeonensis DSM 15491	8281201
0.0%	2	Paenibacillus rhizosphaerae	8925776
0.0%	0	Bacillus altitudinis 41KF2b	8551040
0.0064%	380	Paenibacillus glucanolyticus	8997048
0.0%	0	Candidatus Regiella insecticola LSR1	7205953
0.0%	0	Paenibacillus catalpae	3307078
0.0%	0	Arsenophonus endosymbiont str. Hangzhou of Nilaparvata lugens	8286099
0.0001%	5	Paenibacillus tuaregi	8878251
0.0002%	11	Spiroplasma mirum ATCC 29335	8893105
0.0%	0	Paenibacillus xerothermodurans	8308756
0.0007%	43	Candidatus Rickettsiella viridis	8904606
0.0%	0	Paenibacillus fonticola DSM 21315	8851258
0.0%	0	Paenibacillus terrigena DSM 21567	7955772
0.0001%	6	Spiroplasma kunkelii CR2-3x	8104041
0.0001%	5	Lactobacillus salivarius UCC118	7948844
0.0%	0	Candidatus Hamiltonella defensa MED (Bemisia tabaci)	8030982
0.0031%	187	Paenibacillus larvae subsp. larvae	8998229
0.0001%	8	Spiroplasma taiwanense CT-1	7698400
0.0%	0	Candidatus Hamiltonella defensa	7510034
0.0%	0	Candidatus Hamiltonella defensa (Bemisia tabaci)	8956485
0.0004%	23	Rickettsia prowazekii str. Madrid E	8944573
0.0002%	10	Spiroplasma cantharicola	6883079
0.0%	0	Lactobacillus paracasei ATCC 334	1332124
0.0%	0	Paenibacillus antarcticus	7435434
0.0001%	8	Spiroplasma helicoides	8376120
0.0001%	8	Spiroplasma culicicola AES-1	8864327
0.0%	1	Wolbachia pipientis	5786095
0.0001%	4	Spiroplasma apis B31	7440051
0.0005%	31	Spiroplasma chrysopicola DF-1	8229271
0.0001%	3	Spiroplasma diminutum CUAS-1	7604440
0.0022%	130	Wolbachia endosymbiont of Cimex lectularius	9013652
0.0002%	10	Candidatus Arsenophonus lipoptenae	8709009
0.0003%	18	Spiroplasma turonicum	8755293
0.0002%	14	Spiroplasma sabaudiense Ar-1343	8656050
0.0002%	9	Spiroplasma syrphidicola EA-1	8284425
0.0002%	10	Spiroplasma poulsonii	8818516
0.0002%	14	Wolbachia endosymbiont of Trichogramma pretiosum	8643190
0.0003%	17	Spiroplasma eriocheiris	9004827
0.0003%	18	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	8950694
0.0004%	23	Wolbachia endosymbiont of Drosophila melanogaster	8933947
0.0001%	4	Spiroplasma citri	8175772
0.0001%	5	Wolbachia endosymbiont of Drosophila simulans wNo	8469048
0.0002%	13	Wolbachia endosymbiont of Onchocerca ochengi	8355274
0.0%	0	Wolbachia endosymbiont of Dactylopius coccus	8596230
0.0001%	3	Spiroplasma litorale	7016794
