/nethome/mct30/bmds/SAM_out/G006_Gut_other_bacteria.map			
Percentage	Number of Reads	Organism Name	Description
0.0046%	71	Spiroplasma turonicum	Spiroplasma turonicum strain Tab4c, complete genome.
0.0001%	1	Paenibacillus durus	Paenibacillus durus strain DSM 1735 plasmid, complete sequence.
0.0002%	3	Lactobacillus paracasei ATCC 334	Lactobacillus paracasei ATCC 334 plasmid 1, complete sequence.
0.0451%	690	Paenibacillus larvae subsp. larvae	Paenibacillus larvae subsp. larvae strain ATCC 9545 chromosome, complete genome.
0.0019%	29	Spiroplasma culicicola AES-1	Spiroplasma culicicola AES-1, complete genome.
0.0028%	43	Mesorhizobium ciceri biovar biserrulae WSM1271	Mesorhizobium ciceri biovar biserrulae WSM1271 plasmid pMESCI01, complete sequence.
0.0401%	614	Paenibacillus bovis	Paenibacillus bovis strain BD3526, complete genome.
0.0328%	502	Corynebacterium glutamicum ATCC 13032	Corynebacterium glutamicum ATCC 13032 DNA, complete genome.
0.006%	92	Wolbachia endosymbiont of Drosophila simulans wNo	Wolbachia endosymbiont of Drosophila simulans wNo, complete genome.
0.001%	15	Paenibacillus polymyxa SC2	Paenibacillus polymyxa SC2 plasmid pSC2, complete sequence.
0.0108%	165	Wolbachia endosymbiont of Cimex lectularius	Wolbachia endosymbiont of Cimex lectularius DNA, complete genome.
0.1376%	2106	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1, complete genome.
0.07%	1071	Paenibacillus borealis	Paenibacillus borealis strain DSM 13188, complete genome.
0.0559%	856	Paenibacillus odorifer	Paenibacillus odorifer strain DSM 15391, complete genome.
0.0041%	63	Spiroplasma syrphidicola EA-1	Spiroplasma syrphidicola EA-1, complete genome.
0.0538%	824	Paenibacillus swuensis	Paenibacillus swuensis strain DY6, complete genome.
0.2099%	3214	Bradyrhizobium diazoefficiens USDA 110	Bradyrhizobium diazoefficiens USDA 110 DNA, complete genome.
0.0137%	210	Rickettsia prowazekii str. Madrid E	Rickettsia prowazekii str. Madrid E, complete genome.
0.0115%	176	Candidatus Hamiltonella defensa (Bemisia tabaci)	Candidatus Hamiltonella defensa (Bemisia tabaci) strain MEAM1, complete genome.
0.0089%	136	Spiroplasma mirum ATCC 29335	Spiroplasma mirum ATCC 29335 strain SMCA, complete genome.
0.0778%	1191	Paenibacillus yonginensis	Paenibacillus yonginensis strain DCY84 chromosome, complete genome.
0.0901%	1379	Pseudomonas putida KT2440	Pseudomonas putida KT2440 chromosome, complete genome.
0.0678%	1038	Paenibacillus naphthalenovorans	Paenibacillus naphthalenovorans strain 32O-Y, complete genome.
0.1297%	1985	Microbacterium aurum	Microbacterium aurum strain KACC 15219 chromosome, complete genome.
0.0916%	1403	Ralstonia mannitolilytica	Ralstonia mannitolilytica strain SN82F48 chromosome 1, complete sequence.
0.0153%	234	Wolbachia endosymbiont of Onchocerca ochengi	Wolbachia endosymbiont of Onchocerca ochengi complete genome, strain wOo.
0.0061%	93	Spiroplasma litorale	Spiroplasma litorale strain TN-1, complete genome.
0.1336%	2046	Paenibacillus mucilaginosus 3016	Paenibacillus mucilaginosus 3016, complete genome.
0.0602%	921	Cupriavidus basilensis	Cupriavidus basilensis strain 4G11 chromosome secondary, complete sequence.
0.0029%	44	Spiroplasma helicoides	Spiroplasma helicoides strain TABS-2 chromosome, complete genome.
0.0088%	134	Spiroplasma eriocheiris	Spiroplasma eriocheiris strain DSM 21848, complete genome.
0.0028%	43	Wolbachia endosymbiont of Drosophila melanogaster	Wolbachia endosymbiont of Drosophila melanogaster, complete genome.
0.0711%	1089	Paenibacillus stellifer	Paenibacillus stellifer strain DSM 14472, complete genome.
0.1117%	1710	Xanthomonas campestris pv. campestris str. ATCC 33913	Xanthomonas campestris pv. campestris str. ATCC 33913, complete genome.
0.1421%	2176	Paenibacillus beijingensis	Paenibacillus beijingensis strain DSM 24997, complete genome.
0.0553%	847	Ralstonia solanacearum GMI1000	Ralstonia solanacearum GMI1000 megaplasmid complete sequence.
0.0398%	609	Cupriavidus metallidurans CH34	Cupriavidus metallidurans CH34 megaplasmid, complete sequence.
0.0682%	1044	Paenibacillus donghaensis	Paenibacillus donghaensis strain KCTC 13049 chromosome, complete genome.
0.0042%	65	Spiroplasma sabaudiense Ar-1343	Spiroplasma sabaudiense Ar-1343, complete genome.
0.002%	30	Arsenophonus symbiont of Lipoptena fortisetosa	Arsenophonus symbiont of Lipoptena fortisetosa strain CB, complete genome.
