/nethome/mct30/bmds/SAM_out/G002_Bac_other_bacteria.map			
Percentage	Number of Reads	Organism Name	Description
0.02%	687	Propionibacterium freudenreichii subsp. freudenreichii	Propionibacterium freudenreichii subsp. freudenreichii strain DSM 20271, complete genome.
0.0001%	2	Paenibacillus durus	Paenibacillus durus strain DSM 1735 plasmid, complete sequence.
0.0003%	10	Pantoea agglomerans	Pantoea agglomerans strain C410P1 plasmid unnamed3, complete sequence.
0.0248%	849	Cupriavidus basilensis	Cupriavidus basilensis strain 4G11 chromosome secondary, complete sequence.
0.0685%	2346	Bradyrhizobium diazoefficiens USDA 110	Bradyrhizobium diazoefficiens USDA 110 DNA, complete genome.
0.0059%	202	Wolbachia endosymbiont of Cimex lectularius	Wolbachia endosymbiont of Cimex lectularius DNA, complete genome.
0.0394%	1352	Paenibacillus yonginensis	Paenibacillus yonginensis strain DCY84 chromosome, complete genome.
0.0044%	151	Wolbachia endosymbiont of Onchocerca ochengi	Wolbachia endosymbiont of Onchocerca ochengi complete genome, strain wOo.
0.0255%	874	Corynebacterium glutamicum ATCC 13032	Corynebacterium glutamicum ATCC 13032 DNA, complete genome.
0.0222%	761	Paenibacillus swuensis	Paenibacillus swuensis strain DY6, complete genome.
0.0423%	1450	Pseudomonas syringae pv. syringae B728a	Pseudomonas syringae pv. syringae B728a, complete genome.
0.0003%	10	Ralstonia pickettii 12J	Ralstonia pickettii 12J plasmid pRPIC01, complete sequence.
0.0013%	46	Spiroplasma cantharicola	Spiroplasma cantharicola strain CC-1, complete genome.
0.0015%	53	Mesorhizobium ciceri biovar biserrulae WSM1271	Mesorhizobium ciceri biovar biserrulae WSM1271 plasmid pMESCI01, complete sequence.
0.0086%	295	Wolbachia endosymbiont strain TRS of Brugia malayi	Wolbachia endosymbiont strain TRS of Brugia malayi, complete genome.
0.0452%	1548	Microbacterium testaceum StLB037	Microbacterium testaceum StLB037 DNA, complete genome.
0.0262%	899	Ralstonia mannitolilytica	Ralstonia mannitolilytica strain SN82F48 chromosome 1, complete sequence.
0.0072%	247	Cupriavidus necator N-1	Cupriavidus necator N-1 plasmid pBB1, complete sequence.
0.0298%	1022	Paenibacillus stellifer	Paenibacillus stellifer strain DSM 14472, complete genome.
0.0033%	114	Wolbachia endosymbiont of Drosophila melanogaster	Wolbachia endosymbiont of Drosophila melanogaster, complete genome.
0.0105%	361	Cupriavidus gilardii CR3	Cupriavidus gilardii CR3 chromosome 2, complete sequence.
0.0017%	57	Spiroplasma eriocheiris	Spiroplasma eriocheiris strain DSM 21848, complete genome.
0.0219%	749	Lactobacillus plantarum WCFS1	Lactobacillus plantarum WCFS1 complete genome.
0.026%	892	Microbacterium aurum	Microbacterium aurum strain KACC 15219 chromosome, complete genome.
0.0025%	84	Spiroplasma mirum ATCC 29335	Spiroplasma mirum ATCC 29335 strain SMCA, complete genome.
0.0017%	58	Spiroplasma helicoides	Spiroplasma helicoides strain TABS-2 chromosome, complete genome.
0.0012%	41	Spiroplasma taiwanense CT-1	Spiroplasma taiwanense CT-1, complete genome.
0.0%	1	Lactobacillus paracasei ATCC 334	Lactobacillus paracasei ATCC 334 plasmid 1, complete sequence.
0.0011%	37	Spiroplasma litorale	Spiroplasma litorale strain TN-1, complete genome.
0.0096%	329	Spiroplasma sabaudiense Ar-1343	Spiroplasma sabaudiense Ar-1343, complete genome.
0.0226%	775	Arsenophonus symbiont of Lipoptena fortisetosa	Arsenophonus symbiont of Lipoptena fortisetosa strain CB, complete genome.
0.0343%	1176	Serratia symbiotica	Serratia symbiotica strain STs genome assembly, chromosome: 1.
0.0001%	2	Spiroplasma citri	Spiroplasma citri strain R8-A2 plasmid pSCI15, complete sequence.
0.0025%	84	Spiroplasma chrysopicola DF-1	Spiroplasma chrysopicola DF-1, complete genome.
0.0697%	2389	Paenibacillus borealis	Paenibacillus borealis strain DSM 13188, complete genome.
0.0008%	27	Lactobacillus salivarius UCC118	Lactobacillus salivarius UCC118 plasmid pMP118, complete sequence.
0.0031%	106	Spiroplasma apis B31	Spiroplasma apis B31, complete genome.
0.0015%	51	Paenibacillus polymyxa SC2	Paenibacillus polymyxa SC2 plasmid pSC2, complete sequence.
0.0044%	150	Wolbachia endosymbiont of Drosophila simulans wNo	Wolbachia endosymbiont of Drosophila simulans wNo, complete genome.
0.0011%	39	Spiroplasma turonicum	Spiroplasma turonicum strain Tab4c, complete genome.
0.024%	823	Paenibacillus larvae subsp. larvae	Paenibacillus larvae subsp. larvae strain ATCC 9545 chromosome, complete genome.
0.0589%	2019	Pseudomonas putida KT2440	Pseudomonas putida KT2440 chromosome, complete genome.
0.0589%	2020	Paenibacillus mucilaginosus 3016	Paenibacillus mucilaginosus 3016, complete genome.
0.0345%	1184	Paenibacillus bovis	Paenibacillus bovis strain BD3526, complete genome.
0.0458%	1568	Paenibacillus donghaensis	Paenibacillus donghaensis strain KCTC 13049 chromosome, complete genome.
0.0411%	1409	Paenibacillus naphthalenovorans	Paenibacillus naphthalenovorans strain 32O-Y, complete genome.
0.0172%	591	Rickettsia prowazekii str. Madrid E	Rickettsia prowazekii str. Madrid E, complete genome.
0.0043%	148	Lactobacillus acidophilus NCFM	Lactobacillus acidophilus NCFM, complete genome.
0.0015%	53	Spiroplasma culicicola AES-1	Spiroplasma culicicola AES-1, complete genome.
0.1471%	5043	Serratia symbiotica str. 'Cinara cedri'	Serratia symbiotica str. 'Cinara cedri', complete genome.
0.0024%	82	Spiroplasma syrphidicola EA-1	Spiroplasma syrphidicola EA-1, complete genome.
0.2399%	8223	Candidatus Hamiltonella defensa (Bemisia tabaci)	Candidatus Hamiltonella defensa (Bemisia tabaci) strain MEAM1, complete genome.
0.0663%	2271	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa PAO1, complete genome.
0.0159%	546	Cupriavidus metallidurans CH34	Cupriavidus metallidurans CH34 megaplasmid, complete sequence.
0.0298%	1023	Paenibacillus beijingensis	Paenibacillus beijingensis strain DSM 24997, complete genome.
0.0015%	53	Spiroplasma diminutum CUAS-1	Spiroplasma diminutum CUAS-1, complete genome.
0.0359%	1231	Xanthomonas campestris pv. campestris str. ATCC 33913	Xanthomonas campestris pv. campestris str. ATCC 33913, complete genome.
0.1001%	3429	Microbacterium paludicola	Microbacterium paludicola strain CC3, complete genome.
0.0146%	502	Ralstonia solanacearum GMI1000	Ralstonia solanacearum GMI1000 megaplasmid complete sequence.
0.0003%	10	Pseudomonas syringae pv. tomato str. DC3000	Pseudomonas syringae pv. tomato str. DC3000 plasmid pDC3000B, complete sequence.
0.0281%	964	Paenibacillus odorifer	Paenibacillus odorifer strain DSM 15391, complete genome.
